,algo,env_id,seed,episode_index,episodic_return,episode_length,max_episode_steps,duration_rate,weights
180,sac,Pusher-v5,2,80,-35.19253193284701,100,100,1.0,ga2
181,sac,Pusher-v5,2,81,-41.262943355797255,100,100,1.0,ga2
182,sac,Pusher-v5,2,82,-29.562652880468985,100,100,1.0,ga2
183,sac,Pusher-v5,2,83,-36.4441546935262,100,100,1.0,ga2
184,sac,Pusher-v5,2,84,-30.354086446061,100,100,1.0,ga2
185,sac,Pusher-v5,2,85,-25.653672775513087,100,100,1.0,ga2
186,sac,Pusher-v5,2,86,-33.70658089532105,100,100,1.0,ga2
187,sac,Pusher-v5,2,87,-35.77936111195832,100,100,1.0,ga2
188,sac,Pusher-v5,2,88,-30.564019300824736,100,100,1.0,ga2
189,sac,Pusher-v5,2,89,-34.58531415198769,100,100,1.0,ga2
190,sac,Pusher-v5,2,90,-34.00759802997654,100,100,1.0,ga2
191,sac,Pusher-v5,2,91,-33.985183810119544,100,100,1.0,ga2
192,sac,Pusher-v5,2,92,-33.91526431518348,100,100,1.0,ga2
193,sac,Pusher-v5,2,93,-27.763260985544555,100,100,1.0,ga2
194,sac,Pusher-v5,2,94,-36.927497018580056,100,100,1.0,ga2
195,sac,Pusher-v5,2,95,-31.164041750398795,100,100,1.0,ga2
196,sac,Pusher-v5,2,96,-39.56922307096075,100,100,1.0,ga2
197,sac,Pusher-v5,2,97,-31.535441744631445,100,100,1.0,ga2
198,sac,Pusher-v5,2,98,-41.77220879654636,100,100,1.0,ga2
199,sac,Pusher-v5,2,99,-33.30898889835342,100,100,1.0,ga2
200,sac,Pusher-v5,3,0,-41.19720098404051,100,100,1.0,ga2
201,sac,Pusher-v5,3,1,-31.89111518123898,100,100,1.0,ga2
202,sac,Pusher-v5,3,2,-40.49767356516513,100,100,1.0,ga2
203,sac,Pusher-v5,3,3,-32.44818889655487,100,100,1.0,ga2
204,sac,Pusher-v5,3,4,-28.914358479461036,100,100,1.0,ga2
205,sac,Pusher-v5,3,5,-35.22814907432259,100,100,1.0,ga2
206,sac,Pusher-v5,3,6,-30.22957440721065,100,100,1.0,ga2
207,sac,Pusher-v5,3,7,-41.654456919699896,100,100,1.0,ga2
208,sac,Pusher-v5,3,8,-37.8761323930208,100,100,1.0,ga2
209,sac,Pusher-v5,3,9,-35.91801718269494,100,100,1.0,ga2
210,sac,Pusher-v5,3,10,-37.18958354121095,100,100,1.0,ga2
211,sac,Pusher-v5,3,11,-32.952516980990644,100,100,1.0,ga2
212,sac,Pusher-v5,3,12,-47.41766637763672,100,100,1.0,ga2
213,sac,Pusher-v5,3,13,-39.91076150801179,100,100,1.0,ga2
214,sac,Pusher-v5,3,14,-36.55466017362532,100,100,1.0,ga2
215,sac,Pusher-v5,3,15,-31.202905299441127,100,100,1.0,ga2
216,sac,Pusher-v5,3,16,-32.54083566886102,100,100,1.0,ga2
217,sac,Pusher-v5,3,17,-33.73512529682341,100,100,1.0,ga2
