project,algo,run_id,run_name,env_id,seed,exp_name,total_timesteps,episode_index,episodic_return,episode_length,max_episode_steps,duration_rate
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,41,0.15697778661859807,7,1000,0.007
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,42,0.3393395576103252,11,1000,0.011
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,43,0.2159691335336106,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,44,0.26227895085515734,9,1000,0.009
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,45,0.2630908857970368,9,1000,0.009
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,46,0.20968661913421793,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,47,0.1585672125349432,7,1000,0.007
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,48,0.21642925748060063,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,49,0.16285273098347855,7,1000,0.007
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,50,0.2679756806702037,9,1000,0.009
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,51,0.22447620716195074,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,52,0.2751962296646581,9,1000,0.009
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,53,0.21883376803583574,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,54,0.2242027098189298,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,55,0.26760867266914296,9,1000,0.009
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,56,0.22552709565117454,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,57,0.21499900025395466,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,58,0.22714685825260283,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,59,0.276812746941943,9,1000,0.009
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,60,0.2107049272715203,8,1000,0.008
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,61,0.15936668070000196,7,1000,0.007
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,62,0.16897728196349446,7,1000,0.007
Baseline - PPO - Hopper-v5 - NEW,ppo,ppo_baseline_Hopper-v5_seed1_20251203_195841,Hopper-v5__ppo_baseline__1__1764809923,Hopper-v5,1,ppo_baseline,1000000,63,0.3406489568379173,10,1000,0.01
